name,glass,ice,category,ingredients,instructions
A Drop From the Mermaids,Highball,Full Ice,Stirred,"Southern Comfort 50ml, Vodka 25ml, Sour mix 30ml, Lime 1wedge, 7UP top","Pour ice, Southern Comfort, vodka and sour mix into glass. Squeeze and put lime wedge into glass, Top with 7UP and stir."
Jie's Apple,Highball,Full Ice,Stirred,"Whisky 55ml, Kahlua 25ml, Sour mix 20ml, Lime 1wedge, Club soda top","Pour ice, whisky, Kahlua and sour mix into glass. Squeeze and put lime wedge into glass. Top with club soda and stir."
Camila,Whisky,Full Ice,Shaken,"Bailey's 60ml, Disaronno 30ml, Jack Daniel's 15ml, Club soda splash","Pour Bailey's, Disaronno, Jack Daniel's and ice into shaker. Shake and pour into glass. Top with a SPLASH of club soda and give a light stir."
I'm Not Drunk You Are,Margarita,Strained,Shaken,"Plum wine 60ml, Grapefruit liqueur 20ml, Jack Daniel's 10ml",Pour ingredients and ice into shaker. Shake and strain into glass.
Rebecca,Highball,Full Ice,Stirred,"Brandy 45ml, Campari 15ml, Elderflower liqueur 15ml, Sour mix 30ml, 7UP top",Pour ice and all ingredients into glass. Stir.
The Sweet Spot,Highball,Full Ice,Shaken,"Gin 20ml, Vodka 20ml, Melon liqueur 30ml, Sour mix 30ml 7UP top","Pour gin, vodka, melon liqueur, sour mix and ice into shaker. Shake and pour into glass. Top with 7UP and stir."
Jake's Curse,Long Island,Full Ice,Stirred,"Vodka 60ml, Triple sec 20ml, Sour mix 20ml, Orange juice 20ml, 7UP top",Pour ice and all ingredients into glass. Stir.
French Kiss,Long Island,Full Ice,Stirred,"Vodka 15ml, White rum 15ml, Triple sec 15ml, Cassis liqueur 45ml, Sour mix 30ml, Ginger ale top",Pour ice and all ingredients into glass. Stir.
Jade,Long Island,Full Ice,Stirred,"White rum 30ml, Captain Morgan 40ml, Jameson 20ml, Sour mix 60ml, 7UP top",Pour ice and all ingredients into glass. Stir.
Pink Island,Long Island,Full Ice,Stirred,"Gin 15ml, Tequila 15ml, Vodka 15ml, White rum 15ml, Triple sec 15ml, Sour mix 30ml, Grape Red Bull top",Pour ice and all ingredients into glass. Stir.
I Dare You!,Long Island,Full Ice,Stirred,"White rum 15ml, Vodka 15ml, Triple sec 15ml, Inca 20ml, Whisky 30ml, Sour mix 20ml, Orange juice 30ml, Ginger ale top",Pour ice and all ingredients into glass. Stir.
Titanic,Long Island,Full Ice,Shaken,"Gin 15ml, Tequila 15ml, Vodka 15ml, White rum 15ml, Triple sec 15ml, Pineapple liqueur 20ml, Passion fruit juice 45ml, 7UP top","Pour ice and all ingredients EXCEPT 7UP into glass. Shake, top with 7UP and stir. Add straw."
Wang Wang,Whisky,Full Ice,Shaken,"Wang Wang mix 70ml, Pineapple juice 30ml, Orange juice 30ml",Pour ingredients and ice into shaker. Shake and pour into glass.
Wang Wang Premium,Whisky,90% Ice,Shaken,"Wang Wang mix 70ml, Triple sec 10ml, Captain Morgan 10ml, Pineapple juice 30ml, Orange juice 30ml",Pour ingredients and ice into shaker. Shake and pour into glass.
Aroung the World Orange,Long Island,90% Ice,Shaken,"Wang Wang mix 70ml, Blue curacao 20ml, Orange juice 130ml, Grenadine syrup 10ml","Pour Wang Wang mix and blue curacao and ice into shaker. Pour 90% ice into glass, orange juice and grenadine syrup. Shake and strain into glass to form a layer. Add straw."
Aroung the World Pineapple,Long Island,90% Ice,Shaken,"Wang Wang mix 70ml, Blue curacao 20ml, Pineapple juice 130ml, Grenadine syrup 10ml","Pour Wang Wang mix and blue curacao and ice into shaker. Pour 90% ice into glass, pineapple juice and grenadine syrup. Shake and strain into glass to form a layer. Add straw."
Incaramel vodka,Shot,None,Shot,"Inca 15ml, Sour mix 10ml, Orange juice 10ml",Pour all ingredients into glass.
Ulala,Shot,None,Shot,"White rum 25ml, Sour mix 10ml, Grenadine syrup 2/3 drops",Pour white rum and sour mix into glass. Slowly put grenadine syrup drops to form a bottom layer. 
Baby Guinness,Shot,None,Shot,"Kahlua 25ml, Bailey's 10ml",Pour Kahlua into glass. Carefully pour Bailey's to form a top layer. Use a spoon for a perfect layer!
B52,Shot,None,Shot,"Kahlua 15ml, Bailey's 10ml, Cointreau 10ml",Pour Kahlua into glass. Carefully pour Bailey's to form a middle layer. VERY slowly and carefully pour Cointreau to form a top layer. Use a spoon for perfect layers!
Incendia,Shot,None,Shot,"Passion fruit syrup 5ml, Sour mix 10ml, Tequila 20ml, Tabasco 3dashes",Pour passion fruit syrup into glass. Carefully pour sour mix to form a middle layer. Carefully pour tequila to form a top layer. Use a spoon for perfect layers! Garnish with 3 dashes of tabasco
Tiffany Blue,Shot,None,Shot,"Captain Morgan 60ml, Blue curacao 20ml, Sour mix 15ml, Orange juice 15ml, Club soda top. ","Pour all ingredients except club soda into shaker. Add ice, shake and pour in 6 shot glasses. Top with club soda."
Jager Bomb,Virgin+Shot,None,Bomb,"Red Bull 125ml, Jager 35ml",Pour Red Bull into virgin glass. Pour jager into shot glass. Serve.
Vodka Bomb,Virgin+Shot,None,Bomb,"Red Bull 125ml, Vodka 35ml",Pour Red Bull into virgin glass. Pour vodka into shot glass. Serve.
Tequila Bomb,Virgin+Shot,None,Bomb,"Red Bull 125ml, Tequila 35ml",Pour Red Bull into virgin glass. Pour tequila into shot glass. Serve.
Jager Bomb,Virgin+Shot,None,Bomb,"Red Bull 125ml, Vodka 30ml, Peach liqueur 35ml",Pour Red Bull and vodka into virgin glass. Pour peach liqueur into shot glass. Serve.
Maleficent's Curse,Carlsberg+shot,None,Bomb,"Rum 15ml, Sour mix 15ml, Carlsberg draft, Cassis liqueur 20ml, Grenadine syrup 15ml","Pour rum and sour mix into Carlsberg glass. Top with Carlsberg draft until it reaches half the glass (right on in the middle of the ""B"" of the Carslberg logo). Pour cassis liqueur and grenadine syrup into shot. "
Esmeralda,Carlsberg+shot,None,Bomb,"Blue curacao 10ml, Carslberg draft, Gin 15ml, Grape liqueur 20ml","Pour blue curacao into Carlsberg glass. Top with Carlsberg draft until it reaches half the glass (right on in the middle of the ""B"" of the Carslberg logo). Pour gin and grape liqueur into shot."
Trainwreck,Whisky+shot,None,Bomb,"Vodka 17.5ml, Tequila 17.5ml, Sour mix 20ml, Red Bull 80ml, Jager 15ml",Pour vodka and tequila into shot glass. Put shot glass upside down into whisky glass. Pour sour mix and Red Bull into whisky glass. Slowly pour Jager to form a top layer.
Jager Bomb Bomb,Carlsberg+small beer+shot,None,Bomb,"Jager 15ml, Red Bull 65ml, Carlsberg draft","Pour Jager into shot glass. Pour Red Bull into small beer glass. Pour Carlsberg into Carlsberg glass until it reaches half the glass (right on in the middle of the ""B"" of the Carslberg logo)."
Hand Grenade,Long Island+2 shots,None,Bomb,"Jager 35ml, Tequila 35ml, Carlsberg draft","Pour Jager into one shot glass, tequila into the other shot glass. Pour Carlsberg into long island glass until it reaches half the glass,"
Shipwreck,Long Island+square shot,None,Bomb,"Vodka 15ml, Sour apple liqueur 20ml, Peach liqueur 10ml, Lime 1wedge, Sour mix 10ml, Grape Red Bull 125ml, Carlsberg draft","Pour vodka, sour apple liqueur and peach liqueur into square shot glass. Squeeze 1 wedge of lame and discard. Pour sour mix and grape Red Bull into long island glass. Top with Carlsberg draft until 70% of the glass is full."
Jesus Bomb,Long Island+2 shots,None,Bomb,"Jager 35ml, Singleton 35ml, Carlsberg draft","Pour Jager into one shot glass, Singleton into the other shot glass. Pour Carlsberg into long island glass until it reaches half the glass,"
Regret,Long Island+2 shots,None,Bomb,"Jager 35ml, Tequila 35ml, Adios cocktail","Pour Jager into one shot glass, Tequila into the other shot glass. Put 2 ice cubes into long island glass and pour an adios cocktail in there. "
Hell,Long Island+2 shots,None,Bomb,"Jager 30ml, Tequila 30ml, White wine 35ml, Whisky 25ml, Coke 10ml,  Adios cocktail, Carlsberg draft","Pour white wine into one shot glass, whisky and coke into the other shot glass. Put 2 ice cubes into long island glass and pour the Jager, tequila and an adios cocktail in there WITHOUT the 7UP. Finish with Carlsberg draft until slightly more than half the glass."
Virgin OG,Virgin,Full Ice,Virgin,"Sour mix 20ml, Orange juice 60ml, Grenadine syrup 10ml, Club soda top","Put a spoon into glass. Pour ice, sour mix and orange juice into glass. Stir, add grenadine syrup and top with club soda. "
Virgin PPF,Virgin,Full Ice,Virgin,"Pineapple juice 40ml, Orange juice 40ml, 7UP top",Pour ice and all ingredients into glass. Stir and put a straw into glass.
Virgin OP,Virgin,Full Ice,Virgin,"Passion fruit syrup 45ml, Orange juice 45ml, Lime juice 1half, Club soda top","Pour all ingredients EXCEPT club soda into shaker. Add ice, shake and pour into glass. Top with club soda, add a splash of passion fruit juice for garnish, and put a straw into the glass."
Virgin Mojito,Mojito,Crushed Ice,Stirred,"Club soda 100ml, White sugar 1tsp, Golden sugar 1tsp, Lime 1half, Mint leaves 8(big) / 12(small)","Slap mint leaves and put into glass. Cut half a lime into thirds, then again into thirds (total 9 pieces) and put into glass. Add white and golden sugar into glass. Muddle. Put spoon and straw into glass. Crush ice, add 2 spoons to glass, pour club soda, and stir. Top with crushed ice. Slap a head of mint and garnish glass with it."
